"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15020010,9397500,-110.7142957,34.6364196,2011,0.222131354662009,9.94,374.34,358.925018310547,1824.29,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-1.25328877903659,0.206843957779018
15020008,9400350,-110.6512444,35.011688,2008,0.253799666707008,11.75,297.33,305.016906738281,1483.34,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-1.07844886537239,0.198014740130554
15020008,9400350,-110.6512444,35.011688,2017,0.298847806691403,13.32,232.5,207.494354248047,1483.34,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-0.852790536245425,0.192693022428577
15020008,9400350,-110.6512444,35.011688,2023,0.383009536206315,11.99,248.67,231.210357666016,1483.34,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-0.476793680440381,0.250679746376868
15020008,9399000,-110.6451326,34.96946689,1946,0.141209591079507,11.68,311.19,299.529247342623,1494.33,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-1.80527964969641,0.187551107386511
15020008,9399000,-110.6451326,34.96946689,1954,0.165193920198098,12.12,302.88,299.529247342623,1494.33,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-1.62007940038613,0.22239966274288
15020008,9399000,-110.6451326,34.96946689,1956,0.343103181191373,11.13,180.42,299.529247342623,1494.33,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-0.649495735424945,0.289462578108646
15020008,9399000,-110.6451326,34.96946689,1971,0.0581236082458972,10.77,308.41,264.602508544922,1494.33,6539.4369,3.0093,0.0668,0.1878,0.3802,0.7532,0,0.0026,3e-04,0,7e-04,0.0066,0.0031,0.0021,3e-04,0.02,0,0.1577,0,0.5159,0.2782,3e-04,0,0.0117,0.0032,0.7797,0,0.4534,0,0,0,0.3547,0.0575,0,0.1344,0,0,0,0,0.0155,0.6207,0.3638,-2.78530212755747,0.185276322807864
15020013,9400568,-110.563,35.65480556,2007,0.0552807065382885,11.61,209.61,178.117736816406,1600.72,2994.4923,4.3276,0.3444,0.2908,0.5214,0.2791,0,0,0,0,0,0.0039,0.001,5e-04,0,1e-04,0,0.1144,0,0.7558,0.1193,0,0,0.0039,9e-04,0.0686,0,0.4413,0,0,0,0.4141,0,0,0.1445,0,0,0,0,0.0029,0.4622,0.5349,-2.83846387895048,0.0566098700284453
15020013,9400568,-110.563,35.65480556,2013,0.0185957108107384,10.41,215.98,274.990417480469,1600.72,2994.4923,4.3276,0.3444,0.2908,0.5214,0.2791,0,0,0,0,0,0.0039,0.001,5e-04,0,1e-04,0,0.1144,0,0.7558,0.1193,0,0,0.0039,9e-04,0.0686,0,0.4413,0,0,0,0.4141,0,0,0.1445,0,0,0,0,0.0029,0.4622,0.5349,-3.96605354157313,0.0468455855546255
15020013,9400568,-110.563,35.65480556,2015,0.0108599375244823,11.76,348.94,366.108276367188,1600.72,2994.4923,4.3276,0.3444,0.2908,0.5214,0.2791,0,0,0,0,0,0.0039,0.001,5e-04,0,1e-04,0,0.1144,0,0.7558,0.1193,0,0,0.0039,9e-04,0.0686,0,0.4413,0,0,0,0.4141,0,0,0.1445,0,0,0,0,0.0029,0.4622,0.5349,-4.51175538021517,0.0714057772839586
15020010,9398000,-110.5289306,34.92438889,1948,0.252136941055562,9.56,323.29,387.025655658428,1496.46,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-1.08724752813539,0.308058013686699
15020010,9398000,-110.5289306,34.92438889,1963,0.346898209605133,10.13,400.52,367.083709716797,1496.46,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-0.632701605448582,0.291556003836678
