"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15030101,9423650,-114.4902393,34.7375068,1993,0.0937581380214069,21.1,272.85,181.477523803711,139.15,3134.4302,8.9567,0.5321,0.1266,0.0248,0.6258,0,0,0,0,0.0336,0.0083,0.0219,0.0233,0.0048,0.0194,0,2e-04,0,0.8232,0.0235,2e-04,0.0206,0.0109,0.0099,0.0814,0.0791,0.0849,0,0.0526,0,0,0.2868,0.0893,0.3746,0.0106,0,0,0,0.0234,0.4394,0.5349,-2.26858775959807,0.172416872517011
15030101,9423650,-114.4902393,34.7375068,1995,0.523286568102313,22.19,150.51,142.410781860352,139.15,3134.4302,8.9567,0.5321,0.1266,0.0248,0.6258,0,0,0,0,0.0336,0.0083,0.0219,0.0233,0.0048,0.0194,0,2e-04,0,0.8232,0.0235,2e-04,0.0206,0.0109,0.0099,0.0814,0.0791,0.0849,0,0.0526,0,0,0.2868,0.0893,0.3746,0.0106,0,0,0,0.0234,0.4394,0.5349,0.093213706717573,0.320132961268894
15030101,9423650,-114.4902393,34.7375068,2016,5.27379773208552e-05,22.59,169.84,133.895568847656,139.15,3134.4302,8.9567,0.5321,0.1266,0.0248,0.6258,0,0,0,0,0.0336,0.0083,0.0219,0.0233,0.0048,0.0194,0,2e-04,0,0.8232,0.0235,2e-04,0.0206,0.0109,0.0099,0.0814,0.0791,0.0849,0,0.0526,0,0,0.2868,0.0893,0.3746,0.0106,0,0,0,0.0234,0.4394,0.5349,-9.85012199030541,0.189009648691137
15030107,9527900,-114.4855873,32.8191831,1981,0.706412547372739,24.03,60.7,69.7448043823242,47.62,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,0.878023852006971,0.726208703185275
15030104,9429060,-114.4855107,33.761132,1980,0.835781112176213,22.64,155.76,125.605331420898,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,1.62716653148101,0.852039387106033
15030104,9429060,-114.4855107,33.761132,1986,0.825799670434048,22.61,131.43,117.92684173584,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,1.55614625806579,0.860531485028935
15030104,9429060,-114.4855107,33.761132,1990,0.836446657429563,22.23,93.69,122.792259216309,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,1.63202355824894,0.856083447539217
15030104,9429060,-114.4855107,33.761132,1999,0.889863952664545,22.39,73.41,70.0904388427734,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.08935219331541,0.852760006875352
15070201,9522660,-114.4787944,32.74586944,2009,0.0178678825417921,22.39,38.68,86.8689346313477,50.79,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-4.00672100866262,0.0351570886894581
15030104,9428510,-114.4563389,33.99845278,1975,0.744111334330048,21.18,62.76,53.7425994873047,101.8,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,1.06744821639794,0.764949251851681
