"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15030104,9429030,-114.4974554,33.75696536,2022,0.903961147221976,22.62,85.29,64.1969833374023,88.42,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.24203355470183,0.871649206738706
15030101,9423650,-114.4902393,34.7375068,1974,0.186538173255338,21.08,145.05,134.784408569336,139.15,3134.4302,8.9567,0.5321,0.1266,0.0248,0.6258,0,0,0,0,0.0336,0.0083,0.0219,0.0233,0.0048,0.0194,0,2e-04,0,0.8232,0.0235,2e-04,0.0206,0.0109,0.0099,0.0814,0.0791,0.0849,0,0.0526,0,0,0.2868,0.0893,0.3746,0.0106,0,0,0,0.0234,0.4394,0.5349,-1.47266310036993,0.11961247109072
15030107,9527900,-114.4855873,32.8191831,1975,0.72768054220048,21.88,52.29,37.2967681884766,47.62,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,0.982886281888926,0.628331048918427
15030107,9527900,-114.4855873,32.8191831,1982,0.78900146056819,22.41,115.29,153.541427612305,47.62,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,1.31891696067991,0.589091629243248
15030107,9527900,-114.4855873,32.8191831,1988,0.709757001153653,23.52,53.15,78.1531677246094,47.62,184.1355,2.1598,0.41,0.5303,0.2007,2e-04,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,2e-04,0,2e-04,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707,0.894204160385552,0.678336810030651
15030104,9429060,-114.4855107,33.761132,1977,0.840701301676562,22.34,111.07,164.477676391602,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,1.66345538080975,0.847356231687869
15030104,9429060,-114.4855107,33.761132,2008,0.927227385911242,22.5,139.15,65.5944061279297,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.54485912340209,0.93004846505497
15030104,9429060,-114.4855107,33.761132,2009,0.915564341017676,22.42,57.3,81.6911544799805,87.5,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,2.38355082912842,0.907062093039876
15070201,9522660,-114.4787944,32.74586944,2015,0.0617558953203502,22.97,129.92,164.03239440918,50.79,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-2.72082071295439,0.0457554174461528
15070201,9522660,-114.4787944,32.74586944,2016,0.0432095482679554,23.39,101.08,137.469161987305,50.79,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-3.09752290822064,0.0358106067654956
