Long,Lat,Elev_M
-112.739077501999986,35.724893857000040,1728.0072021
-112.959204115999967,35.670012033000035,1939.4272461
-112.224459401999979,35.686924180000062,1774.1569824
-112.312807860999953,35.709860580000054,1739.9304199
-112.218714470999942,35.712453455000059,1775.0548096
-112.520184251999979,35.472703952000074,1771.1237793
-112.276418166999974,35.734668567000028,1750.1469727
-112.996643420999987,35.666195474000062,2033.7773438
-112.585378402999993,35.788014152000073,1704.1971436
-112.165410952999991,35.782449271000075,1833.3609619
-112.491547965999985,35.533687546000067,1731.1697998
-112.289663249999990,35.688644820000036,1761.8459473
-112.312994998999955,35.770991340000080,1786.6297607
-112.297684318999984,35.751242716000036,1770.1507568
-112.602121820999969,35.747832466000034,1724.2849121
-112.604263957999990,35.786127747000080,1719.5146484
-112.513095714999963,35.691869468000050,1674.5311279
-112.510585924999987,35.726099965000060,1692.1109619
-112.331244753999954,35.614593390000039,1759.0776367
-112.492767393999941,35.543345794000061,1721.5329590
-112.908184015999950,35.661674978000065,1900.4858398
-112.213739432999944,35.799346206000052,1791.9052734
-112.751783887999977,35.557011421000027,1933.8131104
-112.296753620999993,35.704662448000079,1746.9793701
-112.566779273999941,35.666316229000074,1689.0144043
-112.531911541999989,35.736249940000050,1686.8436279
-112.538399384999991,35.598098954000079,1693.9140625
-112.579606860999945,35.616250100000059,1737.9223633
-112.943364173999953,35.760920565000049,1870.0179443
-112.703606991999948,35.478055511000036,1870.3293457
-112.919526284999961,35.778705436000052,1853.6583252
-112.250125460999982,35.800926618000062,1774.4007568
-112.319749482999953,35.513173550000033,1816.2540283
-112.405186212999979,35.655160299000045,1713.7127686
-112.720680067999979,35.762073868000073,1711.5194092
-112.565220088999979,35.708871080000051,1683.3217773
-112.416161329999966,35.680051595000066,1685.0296631
-112.867758430999970,35.788337919000071,1832.3262939
-112.294835477999982,35.563968002000024,1794.2901611
-112.506784003999940,35.700251575000038,1682.3587646
-112.338671063999982,35.550397606000047,1785.4676514
-112.683167404999949,35.684196650000047,1748.8481445
-112.662669630999972,35.646529691000069,1742.6676025
-112.274746599999958,35.576996841000039,1780.2753906
-112.376768567999989,35.702084608000064,1697.9963379
-112.346038052999972,35.684485511000048,1694.5209961
-112.242776776999960,35.565011111000047,1811.2207031
-112.273615442999983,35.362702022000065,1883.8972168
-112.614733309999963,35.637840631000074,1754.0328369
-112.920129115999941,35.696515957000031,1886.9499512
