"","HUC8","Site_Num","Long","Lat","PROVINCE"
"167",15050202,9470800,-110.3478588,31.47287518,"BASIN AND RANGE"
"168",15060104,9496600,-110.3248314,33.99115876,"BASIN AND RANGE"
"169",15060104,9496700,-110.31122,33.9881032,"BASIN AND RANGE"
"170",15050202,9470750,-110.3058333,31.44666667,"BASIN AND RANGE"
"171",15060104,9494300,-110.2895533,34.00004739,"BASIN AND RANGE"
"172",15060104,9496500,-110.2809417,33.9858809,"BASIN AND RANGE"
"173",15060104,9496000,-110.242331,34.01838007,"BASIN AND RANGE"
"174",15050202,9471400,-110.2275778,31.70051389,"BASIN AND RANGE"
"175",15040005,9466500,-110.2200903,33.18561278,"BASIN AND RANGE"
"176",15060101,9490500,-110.2117674,33.71282949,"BASIN AND RANGE"
"177",15050202,9471550,-110.2013333,31.75144444,"BASIN AND RANGE"
"178",15050202,9471000,-110.1751028,31.62594167,"BASIN AND RANGE"
"179",15060102,9494000,-110.166767,33.73644059,"BASIN AND RANGE"
"180",15020008,9397000,-110.1631768,34.8978039,"COLORADO PLATEAUS"
"181",15050202,9470500,-110.1111882,31.38010095,"BASIN AND RANGE"
"182",15020002,9394500,-110.0442837,34.7828076,"COLORADO PLATEAUS"
"183",15020005,9394000,-110.0340052,34.7333645,"COLORADO PLATEAUS"
"184",15020005,9392500,-110.0284437,34.25281947,"COLORADO PLATEAUS"
"185",15060104,9495000,-110.0162198,34.1778208,"COLORADO PLATEAUS"
"186",15020005,9390000,-110.0090008,34.37503945,"COLORADO PLATEAUS"
"187",15050202,9470700,-110.0052778,31.5034722,"BASIN AND RANGE"
"188",15020005,9392000,-110.0042754,34.19643165,"COLORADO PLATEAUS"
"189",15020005,9390500,-109.9878858,34.17948755,"COLORADO PLATEAUS"
"190",15060101,9489700,-109.8467605,33.6672744,"BASIN AND RANGE"
"191",15040005,9460150,-109.8381364,32.74395706,"BASIN AND RANGE"
"192",15040005,9458200,-109.8164694,32.73312363,"BASIN AND RANGE"
"193",15060102,9492400,-109.8145413,33.8222723,"BASIN AND RANGE"
"194",15060101,9489500,-109.7639775,33.47672039,"BASIN AND RANGE"
"195",15040005,9460200,-109.7614701,32.8333993,"BASIN AND RANGE"
"196",15060101,9489499,-109.7531442,33.48144254,"BASIN AND RANGE"
"197",15040005,9445000,-109.719531,33.41283295,"BASIN AND RANGE"
"198",15040005,9458500,-109.7159136,32.8472877,"BASIN AND RANGE"
"199",14080204,9379200,-109.7106684,36.943891,"COLORADO PLATEAUS"
"200",15020002,9388000,-109.7034425,34.64725615,"COLORADO PLATEAUS"
"201",15020002,9386500,-109.6770533,34.64170039,"COLORADO PLATEAUS"
"202",15040005,9445500,-109.6506401,33.3792231,"BASIN AND RANGE"
"203",15060102,9490800,-109.6423184,34.01393579,"BASIN AND RANGE"
"204",15040006,9457000,-109.6392446,32.8017327,"BASIN AND RANGE"
"205",15080301,9537500,-109.5850677,31.35232457,"BASIN AND RANGE"
"206",15060101,9489200,-109.5406442,33.73977345,"BASIN AND RANGE"
"207",15040005,9447800,-109.5311876,32.95561778,"BASIN AND RANGE"
"208",15040005,9446000,-109.5256375,33.35422488,"BASIN AND RANGE"
"209",15040005,9451000,-109.5172974,32.86673068,"BASIN AND RANGE"
"210",15080301,9537200,-109.5089559,31.5900961,"BASIN AND RANGE"
"211",15020002,9386300,-109.4892735,34.6047544,"COLORADO PLATEAUS"
"212",15040005,9448500,-109.4796056,32.8827222,"BASIN AND RANGE"
"213",15020001,9383400,-109.4573125,34.0167143,"COLORADO PLATEAUS"
"214",15060101,9489100,-109.4473074,33.70755199,"BASIN AND RANGE"
"215",15040005,9447000,-109.4422978,33.0645062,"BASIN AND RANGE"
"216",15020002,9386030,-109.4070467,34.5836456,"COLORADO PLATEAUS"
"217",15020002,9385500,-109.3828734,34.36809558,"COLORADO PLATEAUS"
"218",15020002,9385700,-109.3623199,34.4505935,"COLORADO PLATEAUS"
"219",15020001,9384000,-109.362315,34.31448635,"COLORADO PLATEAUS"
"220",15020003,9386250,-109.3184306,34.6147587,"COLORADO PLATEAUS"
"221",15040002,9442000,-109.3086111,32.96527778,"BASIN AND RANGE"
"222",15040004,9444500,-109.2990167,33.05604444,"BASIN AND RANGE"
"223",15040004,9444200,-109.1961832,33.29089456,"BASIN AND RANGE"
"224",15020001,9383550,-109.1923045,34.05560438,"COLORADO PLATEAUS"
"225",15020001,9383500,-109.1864707,34.03032717,"COLORADO PLATEAUS"
"226",15040006,9456000,-109.1756147,32.22508025,"BASIN AND RANGE"
"227",15020006,9395900,-109.126482,35.45252205,"COLORADO PLATEAUS"
"228",15040002,9439000,-109.0991667,32.72444444,"BASIN AND RANGE"
"229",15030108,9530200,-114.658287,32.730047,"BASIN AND RANGE"
"230",15030107,9529440,-114.5980072,32.71282513,"BASIN AND RANGE"
"231",15070201,9529360,-114.5560614,32.70671407,"BASIN AND RANGE"
"232",15070201,9529240,-114.5299495,32.70865835,"BASIN AND RANGE"
"233",15070201,9529160,-114.5041154,32.7178246,"BASIN AND RANGE"
"234",15070101,9519500,-112.7673929,33.22921044,"BASIN AND RANGE"
"235",15070101,9519501,-112.7673929,33.22921044,"BASIN AND RANGE"
"236",15050100,9479500,-112.1670934,33.2569917,"BASIN AND RANGE"
"237",15070102,9512501,-112.0640455,34.3153073,"BASIN AND RANGE"
"238",15070102,9512500,-112.0640455,34.3153073,"BASIN AND RANGE"
"239",15060202,9504430,-111.7618227,34.86168418,"COLORADO PLATEAUS"
"240",15060202,9504420,-111.7618227,34.86168418,"COLORADO PLATEAUS"
"241",15020018,9401280,-111.2018069,36.10499334,"COLORADO PLATEAUS"
"242",15020018,9401260,-111.2018069,36.10499334,"COLORADO PLATEAUS"
"243",15050301,9482000,-110.9800905,31.8714728,"BASIN AND RANGE"
"244",15060101,9489070,-109.3228616,33.90310584,"BASIN AND RANGE"
