Longitude,Latitude,Elev_m
-112.953858530000005,32.240015990000003,526.5697021
-113.072266790000000,32.191195989999997,333.7314453
-113.019376070000007,32.152640589999997,368.3457031
-112.989511320000005,32.139032460000003,386.0364990
-112.651920790000005,32.104953829999999,691.0060425
-112.529328640000003,32.499501490000000,750.1520996
-112.534805239999997,32.386420870000002,707.9430542
-112.532722300000003,32.247423280000000,633.1819458
-112.322609869999994,32.105983270000003,605.6115723
-112.313294310000003,31.985492480000001,551.2592163
-112.764038589999998,31.981200500000000,550.7890625
-113.068348240000006,32.042150059999997,353.0610046
-111.490773149999995,32.569284209999999,526.2457886
-111.558736690000003,32.464306579999999,643.9822998
-111.570716529999999,32.467926270000000,625.8436279
-111.574758939999995,32.478412949999999,607.5130615
-111.512261659999993,31.985841780000001,1046.3144531
-111.713783870000000,32.398969010000002,553.2503052
-111.784712510000006,32.354956369999996,570.6917725
-111.744089869999996,32.347431479999997,561.5347900
-111.757441099999994,32.363751819999997,557.1962891
-111.772820280000005,32.341807590000002,567.4999390
-111.710065510000007,32.329014489999999,579.0115356
-111.789375050000004,32.302714420000001,588.7181396
-111.683968120000003,32.307032749999998,593.4630127
-111.748375719999999,32.244085179999999,647.3100586
-111.766144699999998,32.278114549999998,613.6313477
-111.550861380000001,32.164729850000001,717.8429565
-111.576962129999998,32.209790429999998,668.0458374
-111.548112829999994,32.226246080000003,671.2930298
-111.611709750000003,32.195183980000003,678.5656738
-111.474950509999999,32.194503189999999,736.3440552
-111.674034160000005,32.167989560000002,719.4495850
-111.493367649999996,32.166534370000001,739.4296875
-111.491377860000000,32.143066599999997,761.6013794
-112.030851749999997,32.553067540000001,518.0740356
-112.007049109999997,32.566133000000001,504.0773621
-112.237676899999997,32.552086670000001,633.4685669
-112.245021699999995,32.537142050000000,642.9566040
-112.152308410000003,32.492687310000001,633.8458862
-112.149563499999999,32.494525050000000,632.6882935
-111.956855619999999,32.470919610000003,491.3041992
-111.961098340000007,32.417133749999998,505.9980774
-111.921231030000001,32.409282410000003,530.2818604
-111.934447939999998,32.416190870000001,513.8409424
-111.992996629999993,32.373276840000003,523.3073120
-112.134032189999999,32.311403370000001,616.4559326
-112.070342769999996,32.281114930000001,591.9321289
-112.226606579999995,32.288591719999999,674.0087280
-111.822390639999995,32.249625860000002,643.1726074
-112.012048070000006,32.214669770000000,610.0990601
-111.964712870000000,32.165296660000003,681.0848999
-112.033275700000004,32.058918450000000,649.7844849
-110.890323429999995,32.015797470000003,843.8092041
-110.703055950000007,32.002191009999997,1034.3572998
-110.757053029999994,31.990418280000000,991.2711792
-110.868273459999997,31.981803249999999,863.9984741
-110.884543620000002,31.971214289999999,853.4841919
